epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,329.71,0.64353,0.13919,0.04988,0.46655,0.91031,0.86264,0.7823,0.85709,0.66164,0.09261,0.078,0.08492,0.08114,0.92334,0.37825,0.06792,0.78211,1.02288,0.000205061,0.000205061,0.000205061
74,334.089,0.62642,0.11761,0.04222,0.43926,0.88989,0.85502,0.81313,0.85816,0.66674,0.09163,0.07878,0.08528,0.08154,0.91166,0.38861,0.07498,0.76001,1.02544,0.000197992,0.000197992,0.000197992
75,338.462,0.62717,0.0947,0.03446,0.44136,0.88519,0.87684,0.80187,0.86093,0.66974,0.09373,0.07772,0.08601,0.0817,0.9051,0.35804,0.07897,0.75188,1.02004,0.000190924,0.000190924,0.000190924
76,342.735,0.58554,0.10525,0.05028,0.44428,0.89189,0.85183,0.82931,0.86563,0.65982,0.08686,0.08199,0.08661,0.08201,0.91854,0.33815,0.0753,0.75326,1.02954,0.000183855,0.000183855,0.000183855
77,347.032,0.63583,0.11693,0.04803,0.44453,0.90795,0.86,0.80872,0.85247,0.65697,0.09262,0.0792,0.08587,0.08167,0.95195,0.33558,0.07179,0.76419,1.04788,0.000176786,0.000176786,0.000176786
78,351.378,0.60633,0.08998,0.04341,0.4396,0.89492,0.85456,0.81651,0.85517,0.65363,0.09331,0.0796,0.086,0.08144,0.9683,0.34278,0.06827,0.78829,1.05508,0.000169718,0.000169718,0.000169718
79,355.6,0.63012,0.11783,0.04889,0.44365,0.90151,0.88989,0.78285,0.85661,0.65331,0.09422,0.0782,0.0859,0.081,0.96343,0.35882,0.07023,0.78034,1.04541,0.000162649,0.000162649,0.000162649
80,359.9,0.64463,0.09407,0.03817,0.48971,0.93704,0.81959,0.83031,0.85415,0.65172,0.09129,0.07966,0.0859,0.08088,0.96843,0.36598,0.07375,0.78797,1.03924,0.000155581,0.000155581,0.000155581
81,364.194,0.58909,0.09879,0.0322,0.4156,0.87851,0.83783,0.8124,0.85408,0.66521,0.09242,0.07808,0.08567,0.08093,0.95989,0.36952,0.07441,0.77526,1.0255,0.000148512,0.000148512,0.000148512
82,368.521,0.62772,0.10848,0.03461,0.42649,0.88273,0.80479,0.8486,0.85908,0.66611,0.09236,0.0784,0.08539,0.08093,0.92873,0.38193,0.07487,0.77222,1.02067,0.000141443,0.000141443,0.000141443
